family,evidenceTier,sourceReports,tokens,additiveCoefficients,multiplierCoefficients,calibrationUse,claimBoundary
audit-and-sanctions anti-capture,evidence-anchored prior,Lobby Capture Simulator - Venue Shifting Under Constraint.md; Institutional Reform Simulator - Comparative Reform Bundles.md,audit-and-sanctions; randomized-audit-sanctions; full anti-capture bundle,captureControlBonus=0.060; recoveryCapacityBonus=0.020; transitionReadinessBonus=0.025,lobbyAdaptationMultiplier=0.920,"Model broad audit, detection, and sanction regimes as reducing capture growth and venue-shifting pressure, with modest transition benefits from clearer enforcement architecture.",Not a fitted deterrence estimate; magnitude remains a prior.
venue-shifting detection,evidence-anchored prior,Lobby Capture Simulator - Venue Shifting Under Constraint.md,venue-shifting-detection; machine-readable-meeting-logs,captureControlBonus=0.050; feedbackCorrectionBonus=0.020; transitionReadinessBonus=0.035,lobbyAdaptationMultiplier=0.880,Give the largest lobby-adaptation reduction to mechanisms that explicitly track substitute venues and produce auditable records.,Evidence supports direction more strongly than magnitude.
democracy vouchers,evidence-informed prior,Lobby Capture Simulator - Venue Shifting Under Constraint.md; Legislative Simulator - Citizen Agenda Setting Mechanisms.md,democracy-vouchers; democracy vouchers,agendaCapacityBonus=0.040; captureControlBonus=0.020; feedbackCorrectionBonus=0.025,lobbyAdaptationMultiplier=0.980,"Treat vouchers as public-input and campaign-finance pluralism aids, not as full substitutes for audit or venue-shift enforcement.",Not enough project-specific evidence to treat vouchers as a complete anti-capture control.
budgeted disclosed lobbying,low-direct-evidence prior,Lobby Capture Simulator - Venue Shifting Under Constraint.md; Institutional Design Simulator - Adaptive Bridge Calibration and Validation Strategy.md,budgeted-disclosed-lobbying; budgeted disclosed lobbying; hard-lobbying-budgets,captureControlBonus=0.025; capturePressureAdd=0.012; transitionReadinessBonus=0.010,lobbyAdaptationMultiplier=0.980,Preserve modest disclosure benefits while adding substitution pressure because hard limits can move influence to less visible channels.,"Should remain a validation target, not a recommendation driver."
intermediary and dark-money substitution,evidence-anchored risk prior,Lobby Capture Simulator - Venue Shifting Under Constraint.md,intermediary-substitution; dark-money; revolving-door; campaign-finance-dominant; low-salience,agendaOverloadAdd=0.020; capturePressureAdd=0.050,lobbyAdaptationMultiplier=1.120,"Increase adaptation and pressure where influence can migrate through intermediaries, dark money, revolving-door channels, or low-salience venues.","Risk prior, not a measured venue-shift elasticity."
emergency integrity,evidence-anchored prior,Constitutional Review - Emergency Powers Courts and Crisis Governance.md; Constitutional Review - Sequencing Constitutional and Institutional Reform.md,emergency-integrity-package; no emergency relief without merits review; automatic-merits-follow-up; mandatory-written-emergency-reasoning; emergency-restraint-court; recusal-and-emergency-reform,courtCurbingReduction=0.045; emergencySafeguardBonus=0.100; recoveryCapacityBonus=0.030; reviewCapacityBonus=0.050; transitionReadinessBonus=0.040,,"Give reason-giving, merits follow-up, recusal, and anti-evasion emergency reforms the largest review-side adaptive safeguard effects.",Direction is better supported than the exact effect size.
jurisdiction and pre-enactment review,evidence-informed prior,Constitutional Review - Emergency Powers Courts and Crisis Governance.md; Constitutional Review - Sequencing Constitutional and Institutional Reform.md,jurisdiction-stripping-constraints; constitutional-council; pre-enactment,courtCurbingReduction=0.030; emergencySafeguardBonus=0.040; reviewCapacityBonus=0.030; transitionReadinessBonus=0.030,,"Model front-loaded review and jurisdictional safeguards as reducing downstream emergency and curbing pressure, but below the emergency-integrity package.",Static review value and adaptive capacity remain partly confounded.
citizen assembly threshold,evidence-informed prior,Legislative Simulator - Citizen Agenda Setting Mechanisms.md; Legislative Simulator - Public Feedback Loops in Democratic Politics.md,citizen-assembly-threshold; citizen assembly,agendaCapacityBonus=0.070; agendaOverloadAdd=0.025; feedbackCorrectionBonus=0.055; transitionReadinessBonus=0.020,partyAdaptationMultiplier=0.960,Treat deliberative agenda channels as strong public-feedback correctives with manageable but real overload costs.,Requires direct mechanism simulator rows before recommendation use.
random public review panel,evidence-informed prior,Legislative Simulator - Citizen Agenda Setting Mechanisms.md; Legislative Simulator - Public Feedback Loops in Democratic Politics.md,random-public-review-panel; random public review panel,agendaCapacityBonus=0.060; feedbackCorrectionBonus=0.050; rightsRiskAdd=-0.025,partyAdaptationMultiplier=0.970,Model randomly selected review panels as deliberative correction channels with lower rights-risk than plebiscitary devices.,Institutional design details determine whether this prior holds.
citizens agenda petition,speculative-to-evidence-informed prior,Legislative Simulator - Citizen Agenda Setting Mechanisms.md,citizens-agenda-petition; citizen agenda petition,agendaCapacityBonus=0.060; agendaOverloadAdd=0.035; feedbackCorrectionBonus=0.035,partyAdaptationMultiplier=0.970,Give petitions meaningful agenda access benefits while retaining overload risk when filtering and response duties are weak.,Threshold design and authentication are not yet separately modeled.
