stressProfile,stressLabel,bridgeRank,caseKey,caseLabel,rationale,selectorSource,bridgeScore,balancedRank,balancedScore,averageDelivery,averageReviewDocketPressure,averageCorrectionRate,averageNetPolicyBenefit,finalPolicyQuality,finalPublicAlignment,finalCapturePressure,finalCorrectionBacklog,finalCourtCurbingPressure,finalLegitimacy,finalCompliance,cumulativeUsefulPolicy,cumulativeBadPolicyInflow,cumulativeUncorrectedPressure,baseResilienceFloor,failureModes,legislatureKey,legislature,reviewKey,review,antiCaptureKey,antiCapture
baseline,Baseline,1,balanced-winner,Balanced winner,Highest balanced portfolio score.,cumulative-government-portfolios.csv rank 1,0.723,1,0.656,0.601,0.156,0.989,0.286,0.350,0.516,0.000,0.028,0.000,0.697,0.705,8.851,4.412,0.041,0.554,weak starting floor,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
baseline,Baseline,6,robustness-winner,Robustness winner,Highest cross-profile robustness score.,portfolio-robustness.csv rank 1,0.709,267,0.635,0.516,0.128,1.000,0.247,0.298,0.507,0.000,0.025,0.000,0.700,0.742,7.569,3.660,0.000,0.635,no dominant failure mode,portfolio-hybrid-legislature,Portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
baseline,Baseline,3,minimax-regret-winner,Minimax-regret winner,Lowest maximum regret across configured value profiles.,portfolio-minimax-regret.csv rank 1,0.715,323,0.633,0.595,0.184,0.939,0.262,0.337,0.505,0.000,0.027,0.000,0.675,0.701,8.525,4.830,0.272,0.608,no dominant failure mode,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
baseline,Baseline,4,rights-capture-winner,Rights/capture winner,"Highest rights-first profile row, which weights rights while preserving capture resistance.",profile-sensitivity.csv rights-first rank 1,0.713,125,0.640,0.528,0.130,1.000,0.253,0.305,0.507,0.000,0.026,0.000,0.708,0.742,7.754,3.739,0.000,0.635,no dominant failure mode,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
baseline,Baseline,5,legitimacy-winner,Legitimacy-first winner,Highest legitimacy-first profile row.,profile-sensitivity.csv legitimacy-first rank 1,0.713,125,0.640,0.528,0.130,1.000,0.253,0.305,0.507,0.000,0.026,0.000,0.708,0.742,7.754,3.739,0.000,0.635,no dominant failure mode,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
baseline,Baseline,2,efficiency-caution,Efficiency caution case,"Highest efficiency-first profile row, included as a stress case for weak-floor risks.",profile-sensitivity.csv efficiency-first rank 1,0.719,348,0.631,0.627,0.229,0.862,0.247,0.345,0.490,0.000,0.029,0.000,0.661,0.711,8.609,5.527,0.756,0.600,no dominant failure mode,default-pass,Default pass unless 2/3 block,emergency-restraint-court,No emergency relief without merits review,democracy-vouchers,Democracy vouchers
baseline,Baseline,7,current-system-baseline,Current-system-ish baseline,Stylized current institutional package for comparison.,fixed baseline keys,0.474,33486,0.500,0.297,0.196,1.000,0.041,0.000,0.195,0.479,0.000,0.000,0.391,0.631,2.711,3.863,0.000,0.419,weak starting floor; low policy quality; public alignment erosion; legitimacy erosion; delivery bottleneck,current-system,Stylized U.S.-like conventional benchmark,current-us-like,Stylized current U.S.-like supreme court,open-access-lobbying,Open access lobbying
high-capture-pressure,High Capture Pressure,5,balanced-winner,Balanced winner,Highest balanced portfolio score.,cumulative-government-portfolios.csv rank 1,0.189,1,0.656,0.502,0.494,0.447,-0.042,0.000,0.000,1.000,1.000,0.016,0.095,0.442,3.981,7.453,6.558,0.554,weak starting floor; low policy quality; public alignment erosion; capture drift; uncorrected rights backlog; legitimacy erosion,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
high-capture-pressure,High Capture Pressure,1,robustness-winner,Robustness winner,Highest cross-profile robustness score.,portfolio-robustness.csv rank 1,0.479,267,0.635,0.462,0.244,0.996,0.092,0.003,0.215,0.573,0.006,0.000,0.420,0.619,4.733,5.587,0.024,0.635,low policy quality; public alignment erosion; capture drift; legitimacy erosion,portfolio-hybrid-legislature,Portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
high-capture-pressure,High Capture Pressure,6,minimax-regret-winner,Minimax-regret winner,Lowest maximum regret across configured value profiles.,portfolio-minimax-regret.csv rank 1,0.180,323,0.633,0.494,0.558,0.367,-0.075,0.000,0.000,1.000,1.000,0.021,0.059,0.431,3.752,7.647,8.488,0.608,low policy quality; public alignment erosion; capture drift; uncorrected rights backlog; legitimacy erosion,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
