construct,importedColumn,companionColumn,importedPresent,companionPresent,importedRows,companionRows,direction,weight,comparisonStatus,staticScoreEligibility,adaptiveInputEligibility,denominatorRisk,recommendation
directionalScore,directionalScore,directionalScore,True,True,520,231,positive,3.000,shared configured metric,candidate after denominator check,possible dynamic input if period meaning is defined,medium,Map denominators before treating score differences as substantive.
stabilityRightsScore,stabilityRightsScore,,True,False,520,231,positive,2.000,imported-only configured metric,current static metric only,not available in companion review source,high,Do not impute into companion run without source-level construct mapping.
legitimacyControlScore,legitimacyControlScore,,True,False,520,231,positive,2.000,imported-only configured metric,current static metric only,not available in companion review source,high,Do not impute into companion run without source-level construct mapping.
legalStability,legalStability,legalStability,True,True,520,231,positive,1.700,shared configured metric,candidate after denominator check,possible dynamic input if period meaning is defined,medium,Map denominators before treating score differences as substantive.
rightsProtection,rightsProtection,rightsProtection,True,True,520,231,positive,1.800,shared configured metric,candidate after denominator check,possible dynamic input if period meaning is defined,medium,Map denominators before treating score differences as substantive.
democraticResponsiveness,democraticResponsiveness,democraticResponsiveness,True,True,520,231,positive,1.200,shared configured metric,candidate after denominator check,possible dynamic input if period meaning is defined,medium,Map denominators before treating score differences as substantive.
independenceAccountabilityBalance,independenceAccountabilityBalance,independenceAccountabilityBalance,True,True,520,231,positive,1.200,shared configured metric,candidate after denominator check,possible dynamic input if period meaning is defined,medium,Map denominators before treating score differences as substantive.
legitimacy,legitimacy,legitimacy,True,True,520,231,positive,1.400,shared configured metric,candidate after denominator check,possible dynamic input if period meaning is defined,medium,Map denominators before treating score differences as substantive.
publicConfidence,publicConfidence,,True,False,520,231,positive,1.000,imported-only configured metric,current static metric only,not available in companion review source,high,Do not impute into companion run without source-level construct mapping.
lowerCourtCompliance,lowerCourtCompliance,,True,False,520,231,positive,0.800,imported-only configured metric,current static metric only,not available in companion review source,high,Do not impute into companion run without source-level construct mapping.
partisanAlignment,partisanAlignment,partisanAlignment,True,True,520,231,negative,1.300,shared configured metric,candidate after denominator check,possible dynamic input if period meaning is defined,medium,Map denominators before treating score differences as substantive.
shadowDocketAbuse,shadowDocketAbuse,shadowDocketAbuse,True,True,520,231,negative,1.400,shared configured metric,candidate after denominator check,possible dynamic input if period meaning is defined,medium,Map denominators before treating score differences as substantive.
emergencyLegitimacyRisk,emergencyLegitimacyRisk,,True,False,520,231,negative,1.200,imported-only configured metric,current static metric only,not available in companion review source,high,Do not impute into companion run without source-level construct mapping.
constitutionalConflict,constitutionalConflict,constitutionalConflict,True,True,520,231,negative,1.200,shared configured metric,candidate after denominator check,possible dynamic input if period meaning is defined,medium,Map denominators before treating score differences as substantive.
reversalRate,reversalRate,reversalRate,True,True,520,231,negative,0.700,shared configured metric,candidate after denominator check,possible dynamic input if period meaning is defined,medium,Map denominators before treating score differences as substantive.
administrativeCost,administrativeCost,,True,False,520,231,negative,0.800,imported-only configured metric,current static metric only,not available in companion review source,high,Do not impute into companion run without source-level construct mapping.
totalInstitutionalCost,,totalInstitutionalCost,False,True,520,231,negative,0.800,companion-only configured metric,candidate static metric after mapping,possible dynamic input,high,Eligible for harmonized review only after matching scale and construct ownership.
implementationComplexity,,implementationComplexity,False,True,520,231,negative,0.500,companion-only configured metric,candidate static metric after mapping,possible dynamic input,high,Eligible for harmonized review only after matching scale and construct ownership.
complianceRate,,complianceRate,False,True,520,231,positive,,companion adaptive candidate,do not add to static score yet,Adaptive bridge compliance/recovery input candidate.,requires calibration,Map as Adaptive Bridge or stress input before using it as a ranking metric.
defianceRate,,defianceRate,False,True,520,231,negative,,companion adaptive candidate,do not add to static score yet,Adaptive bridge institutional noncompliance input candidate.,requires calibration,Map as Adaptive Bridge or stress input before using it as a ranking metric.
workaroundRate,,workaroundRate,False,True,520,231,negative,,companion adaptive candidate,do not add to static score yet,Adaptive bridge evasion/noncompliance input candidate.,requires calibration,Map as Adaptive Bridge or stress input before using it as a ranking metric.
executiveImplementationRate,,executiveImplementationRate,False,True,520,231,positive,,companion adaptive candidate,do not add to static score yet,Agency/executive implementation capacity input candidate.,requires calibration,Map as Adaptive Bridge or stress input before using it as a ranking metric.
