metricName,sourceProject,sourceColumn,denominator,direction,weight,staticScoreEligibility,adaptiveInputEligibility,relationshipToExistingMetric,harmonizedColumn,harmonizedAction,rationale
directionalScore,Supreme Court Simulator Design,directionalScore,case-weighted scenario mean over the imported Supreme Court Design campaign rows,positive,3.000,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,directionalScore,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
stabilityRightsScore,Supreme Court Simulator Design,stabilityRightsScore,case-weighted scenario mean over the imported Supreme Court Design campaign rows,positive,2.000,source-specific only; excluded from harmonized static source,possible source-specific sensitivity input,conflicts with harmonized static scope until source ownership is assigned,,excluded,"Column is present in this source only, so using it would give that source an unmatched static-score advantage."
legitimacyControlScore,Supreme Court Simulator Design,legitimacyControlScore,case-weighted scenario mean over the imported Supreme Court Design campaign rows,positive,2.000,source-specific only; excluded from harmonized static source,possible source-specific sensitivity input,conflicts with harmonized static scope until source ownership is assigned,,excluded,"Column is present in this source only, so using it would give that source an unmatched static-score advantage."
legalStability,Supreme Court Simulator Design,legalStability,case-weighted scenario mean over the imported Supreme Court Design campaign rows,positive,1.700,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,legalStability,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
rightsProtection,Supreme Court Simulator Design,rightsProtection,case-weighted scenario mean over the imported Supreme Court Design campaign rows,positive,1.800,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,rightsProtection,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
democraticResponsiveness,Supreme Court Simulator Design,democraticResponsiveness,case-weighted scenario mean over the imported Supreme Court Design campaign rows,positive,1.200,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,democraticResponsiveness,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
independenceAccountabilityBalance,Supreme Court Simulator Design,independenceAccountabilityBalance,case-weighted scenario mean over the imported Supreme Court Design campaign rows,positive,1.200,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,independenceAccountabilityBalance,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
legitimacy,Supreme Court Simulator Design,legitimacy,case-weighted scenario mean over the imported Supreme Court Design campaign rows,positive,1.400,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,legitimacy,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
publicConfidence,Supreme Court Simulator Design,publicConfidence,case-weighted scenario mean over the imported Supreme Court Design campaign rows,positive,1.000,source-specific only; excluded from harmonized static source,possible source-specific sensitivity input,conflicts with harmonized static scope until source ownership is assigned,,excluded,"Column is present in this source only, so using it would give that source an unmatched static-score advantage."
lowerCourtCompliance,Supreme Court Simulator Design,lowerCourtCompliance,case-weighted scenario mean over the imported Supreme Court Design campaign rows,positive,0.800,source-specific only; excluded from harmonized static source,possible source-specific sensitivity input,conflicts with harmonized static scope until source ownership is assigned,,excluded,"Column is present in this source only, so using it would give that source an unmatched static-score advantage."
partisanAlignment,Supreme Court Simulator Design,partisanAlignment,case-weighted scenario mean over the imported Supreme Court Design campaign rows,negative,1.300,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,partisanAlignment,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
shadowDocketAbuse,Supreme Court Simulator Design,shadowDocketAbuse,case-weighted scenario mean over the imported Supreme Court Design campaign rows,negative,1.400,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,shadowDocketAbuse,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
emergencyLegitimacyRisk,Supreme Court Simulator Design,emergencyLegitimacyRisk,case-weighted scenario mean over the imported Supreme Court Design campaign rows,negative,1.200,source-specific only; excluded from harmonized static source,possible source-specific sensitivity input,conflicts with harmonized static scope until source ownership is assigned,,excluded,"Column is present in this source only, so using it would give that source an unmatched static-score advantage."
constitutionalConflict,Supreme Court Simulator Design,constitutionalConflict,case-weighted scenario mean over the imported Supreme Court Design campaign rows,negative,1.200,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,constitutionalConflict,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
reversalRate,Supreme Court Simulator Design,reversalRate,case-weighted scenario mean over the imported Supreme Court Design campaign rows,negative,0.700,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,reversalRate,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
administrativeCost,Supreme Court Simulator Design,administrativeCost,case-weighted scenario mean over the imported Supreme Court Design campaign rows,negative,0.800,source-specific only; excluded from harmonized static source,possible source-specific sensitivity input,conflicts with harmonized static scope until source ownership is assigned,,excluded,"Column is present in this source only, so using it would give that source an unmatched static-score advantage."
totalInstitutionalCost,Supreme Court Simulator Design,,case-weighted scenario mean over the imported Supreme Court Design campaign rows,negative,0.800,not present in this source,not available from this source,missing relative to configured review metric,,not present,Configured metric is absent from this source.
implementationComplexity,Supreme Court Simulator Design,,case-weighted scenario mean over the imported Supreme Court Design campaign rows,negative,0.500,not present in this source,not available from this source,missing relative to configured review metric,,not present,Configured metric is absent from this source.
directionalScore,Constitutional Review Simulator,directionalScore,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,3.000,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,directionalScore,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
stabilityRightsScore,Constitutional Review Simulator,,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,2.000,not present in this source,not available from this source,missing relative to configured review metric,,not present,Configured metric is absent from this source.
legitimacyControlScore,Constitutional Review Simulator,,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,2.000,not present in this source,not available from this source,missing relative to configured review metric,,not present,Configured metric is absent from this source.
legalStability,Constitutional Review Simulator,legalStability,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,1.700,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,legalStability,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
rightsProtection,Constitutional Review Simulator,rightsProtection,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,1.800,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,rightsProtection,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
democraticResponsiveness,Constitutional Review Simulator,democraticResponsiveness,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,1.200,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,democraticResponsiveness,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
independenceAccountabilityBalance,Constitutional Review Simulator,independenceAccountabilityBalance,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,1.200,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,independenceAccountabilityBalance,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
legitimacy,Constitutional Review Simulator,legitimacy,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,1.400,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,legitimacy,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
publicConfidence,Constitutional Review Simulator,,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,1.000,not present in this source,not available from this source,missing relative to configured review metric,,not present,Configured metric is absent from this source.
lowerCourtCompliance,Constitutional Review Simulator,,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,0.800,not present in this source,not available from this source,missing relative to configured review metric,,not present,Configured metric is absent from this source.
partisanAlignment,Constitutional Review Simulator,partisanAlignment,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,negative,1.300,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,partisanAlignment,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
